# Logfile created on 2015-06-13 20:15:47 +0200 by logger.rb/v1.2.7
D, [2015-06-13T20:15:47.404199 #5687] DEBUG -- : MONGODB | Adding 127.0.0.1:27017 to the cluster. | runtime: 0.0134ms
D, [2015-06-14T20:25:20.161159 #4629] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:email=>"user1@email.com", :password=>"7c4a8d09ca3762af61e59520943dc26494f8941b"} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.5648ms
D, [2015-06-14T20:25:20.162324 #4629] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:update=>"user", :updates=>[{:q=>{"_id"=><BSON::ObjectId:0x35208600 data=557dc710726a751215000000>}, :u=>{"$set"=>{"session_token"=>"awphu4kvMm19wgjotPBq1w=="}}, :multi=>false, :upsert=>false}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.4463ms
D, [2015-06-14T20:25:20.163347 #4629] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:_id=><BSON::ObjectId:0x22186000 data=557dc710726a751215000000>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3076ms
D, [2015-06-14T20:25:36.446080 #4640] DEBUG -- : MONGODB | Adding 127.0.0.1:27017 to the cluster. | runtime: 0.0141ms
D, [2015-06-14T20:25:36.447316 #4640] DEBUG -- : MONGODB | COMMAND | namespace=admin.$cmd selector={:ismaster=>1} flags=[] limit=-1 skip=0 project=nil | runtime: 0.9625ms
D, [2015-06-14T20:25:36.458777 #4640] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:dropDatabase=>1} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 10.9448ms
D, [2015-06-14T20:25:36.535641 #4640] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:email=>"user1@email.com", :_id=>{"$ne"=>nil}} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.5980ms
D, [2015-06-14T20:25:36.543858 #4640] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"user", :documents=>[{"email"=>"user1@email.com", "name"=>"User1", "password"=>"7c4a8d09ca3762af61e59520943dc26494f8941b", "_id"=><BSON::ObjectId:0x29747040 data=557dc720726a751220000000>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 7.5288ms
D, [2015-06-14T20:25:36.624440 #4640] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:email=>"user1@email.com", :password=>"7c4a8d09ca3762af61e59520943dc26494f8941b"} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.4044ms
D, [2015-06-14T20:25:36.625201 #4640] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"6s1t3JFqAR5Jxhg906gH7Q=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2723ms
D, [2015-06-14T20:25:36.626090 #4640] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:update=>"user", :updates=>[{:q=>{"_id"=><BSON::ObjectId:0x38822220 data=557dc720726a751220000000>}, :u=>{"$set"=>{"session_token"=>"6s1t3JFqAR5Jxhg906gH7Q=="}}, :multi=>false, :upsert=>false}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.4697ms
D, [2015-06-14T20:25:36.641926 #4640] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:email=>"user1@email.com", :password=>"7c4a8d09ca3762af61e59520943dc26494f8941b"} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.4144ms
D, [2015-06-14T20:25:36.642895 #4640] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:update=>"user", :updates=>[{:q=>{"_id"=><BSON::ObjectId:0x39389300 data=557dc720726a751220000000>}, :u=>{"$set"=>{"session_token"=>"6s1t3JFqAR5Jxhg906gH7Q=="}}, :multi=>false, :upsert=>false}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.3884ms
D, [2015-06-14T20:25:36.644060 #4640] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:_id=><BSON::ObjectId:0x29747040 data=557dc720726a751220000000>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.4067ms
D, [2015-06-14T20:26:04.537946 #4650] DEBUG -- : MONGODB | Adding 127.0.0.1:27017 to the cluster. | runtime: 0.0103ms
D, [2015-06-14T20:26:04.539095 #4650] DEBUG -- : MONGODB | COMMAND | namespace=admin.$cmd selector={:ismaster=>1} flags=[] limit=-1 skip=0 project=nil | runtime: 0.9608ms
D, [2015-06-14T20:26:04.554874 #4650] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:dropDatabase=>1} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 15.3060ms
D, [2015-06-14T20:26:04.634574 #4650] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:email=>"user1@email.com", :_id=>{"$ne"=>nil}} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.4807ms
D, [2015-06-14T20:26:04.642915 #4650] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"user", :documents=>[{"email"=>"user1@email.com", "name"=>"User1", "password"=>"7c4a8d09ca3762af61e59520943dc26494f8941b", "_id"=><BSON::ObjectId:0x21672360 data=557dc73c726a75122a000000>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 7.8957ms
D, [2015-06-14T20:26:04.643856 #4650] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"R1eBvhMnoiAcIgOz2j3DpA=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2809ms
D, [2015-06-14T20:26:04.644715 #4650] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:update=>"user", :updates=>[{:q=>{"_id"=><BSON::ObjectId:0x21672360 data=557dc73c726a75122a000000>}, :u=>{"$set"=>{"session_token"=>"R1eBvhMnoiAcIgOz2j3DpA=="}}, :multi=>false, :upsert=>false}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.4759ms
D, [2015-06-14T20:26:04.647631 #4650] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 1", "text"=>"Text 1", "user_id"=>"557dc73c726a75122a000000", "_id"=><BSON::ObjectId:0x21531120 data=557dc73c726a75122a000001>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 1.4603ms
D, [2015-06-14T20:26:04.648877 #4650] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 2", "text"=>"Text 2", "user_id"=>"557dc73c726a75122a000000", "_id"=><BSON::ObjectId:0x21420620 data=557dc73c726a75122a000002>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.4210ms
D, [2015-06-14T20:26:04.721884 #4650] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"R1eBvhMnoiAcIgOz2j3DpA=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.4425ms
D, [2015-06-14T20:26:04.722589 #4650] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={"_id"=><BSON::ObjectId:0x34175480 data=557dc73c726a75122a000000>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2341ms
D, [2015-06-14T20:26:04.723097 #4650] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.post selector={:user_id=>"557dc73c726a75122a000000"} flags=[:slave_ok] limit=10 skip=0 project=nil | runtime: 0.2415ms
D, [2015-06-14T20:26:04.738528 #4650] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"R1eBvhMnoiAcIgOz2j3DpA=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3943ms
D, [2015-06-14T20:26:04.739148 #4650] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={"_id"=><BSON::ObjectId:0x34720680 data=557dc73c726a75122a000000>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2141ms
D, [2015-06-14T20:26:04.739659 #4650] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.post selector={:user_id=>"557dc73c726a75122a000000"} flags=[:slave_ok] limit=10 skip=0 project=nil | runtime: 0.2372ms
D, [2015-06-14T20:26:04.741766 #4650] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"R1eBvhMnoiAcIgOz2j3DpA=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3281ms
D, [2015-06-14T20:26:04.742315 #4650] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={"_id"=><BSON::ObjectId:0x34837320 data=557dc73c726a75122a000000>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2081ms
D, [2015-06-14T20:26:04.742854 #4650] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.post selector={:user_id=>"557dc73c726a75122a000000"} flags=[:slave_ok] limit=10 skip=0 project=nil | runtime: 0.2520ms
D, [2015-06-14T20:26:04.749016 #4650] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"invalid"} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2935ms
D, [2015-06-14T20:26:04.751088 #4650] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"R1eBvhMnoiAcIgOz2j3DpA=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3893ms
D, [2015-06-14T20:26:04.754234 #4650] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"R1eBvhMnoiAcIgOz2j3DpA=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3779ms
D, [2015-06-14T20:26:04.755052 #4650] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={"_id"=>"invalid"} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2527ms
D, [2015-06-14T20:26:04.757372 #4650] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 3", "text"=>"Text 3", "user_id"=>"557dc73c726a75122a000000", "_id"=><BSON::ObjectId:0x35314800 data=557dc73c726a75122a000003>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.4945ms
D, [2015-06-14T20:26:04.759929 #4650] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"R1eBvhMnoiAcIgOz2j3DpA=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.4416ms
D, [2015-06-14T20:26:04.760897 #4650] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.post selector={"_id"=><BSON::ObjectId:0x35388000 data=557dc73c726a75122a000003>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3438ms
D, [2015-06-14T20:26:04.763803 #4650] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"R1eBvhMnoiAcIgOz2j3DpA=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.4401ms
D, [2015-06-14T20:26:04.764709 #4650] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.post selector={"_id"=><BSON::ObjectId:0x35465660 data=557dc73c726a75122a000003>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3324ms
D, [2015-06-14T20:26:04.769567 #4650] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"invalid"} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3259ms
D, [2015-06-14T20:26:04.772528 #4650] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:drop=>"post"} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 1.5330ms
D, [2015-06-14T20:26:04.777357 #4650] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"R1eBvhMnoiAcIgOz2j3DpA=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.4940ms
D, [2015-06-14T20:26:04.778824 #4650] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title", "text"=>"Text", "user_id"=>"557dc73c726a75122a000000", "_id"=><BSON::ObjectId:0x35908000 data=557dc73c726a75122a000004>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.7308ms
D, [2015-06-14T20:26:04.780375 #4650] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:drop=>"post"} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 0.5345ms
D, [2015-06-14T20:26:04.782327 #4650] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"R1eBvhMnoiAcIgOz2j3DpA=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3111ms
D, [2015-06-14T20:26:04.783344 #4650] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title", "text"=>"Text", "user_id"=>"557dc73c726a75122a000000", "_id"=><BSON::ObjectId:0x36019180 data=557dc73c726a75122a000005>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.5279ms
D, [2015-06-14T20:26:04.784550 #4650] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:drop=>"post"} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 0.4470ms
D, [2015-06-14T20:26:04.790506 #4650] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"R1eBvhMnoiAcIgOz2j3DpA=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3831ms
D, [2015-06-14T20:26:04.791846 #4650] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title", "text"=>"Text", "user_id"=>"557dc73c726a75122a000000", "_id"=><BSON::ObjectId:0x35739640 data=557dc73c726a75122a000006>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.5996ms
D, [2015-06-14T20:26:04.792944 #4650] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.post selector={} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3273ms
D, [2015-06-14T20:26:04.794506 #4650] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:drop=>"post"} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 0.6273ms
D, [2015-06-14T20:26:04.796178 #4650] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"R1eBvhMnoiAcIgOz2j3DpA=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3848ms
D, [2015-06-14T20:26:04.798043 #4650] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:count=>"post", :query=>{}} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 0.9158ms
D, [2015-06-14T20:26:04.799519 #4650] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:drop=>"post"} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 0.3428ms
D, [2015-06-14T20:26:04.803035 #4650] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:drop=>"post"} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 0.4253ms
D, [2015-06-14T20:26:04.805244 #4650] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"invalid"} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2916ms
D, [2015-06-14T20:26:04.807499 #4650] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 4", "text"=>"Text 4", "user_id"=>"557dc73c726a75122a000000", "_id"=><BSON::ObjectId:0x34896720 data=557dc73c726a75122a000007>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.8035ms
D, [2015-06-14T20:26:04.809967 #4650] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"R1eBvhMnoiAcIgOz2j3DpA=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.4354ms
D, [2015-06-14T20:26:04.811074 #4650] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.post selector={"_id"=><BSON::ObjectId:0x34602460 data=557dc73c726a75122a000007>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3846ms
D, [2015-06-14T20:26:04.812440 #4650] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:update=>"post", :updates=>[{:q=>{"_id"=><BSON::ObjectId:0x34598660 data=557dc73c726a75122a000007>}, :u=>{"title"=>"new_name", "text"=>"new_text", "user_id"=>"557dc73c726a75122a000000"}, :multi=>false, :upsert=>true}], :writeConcern=>{:w=>1}, :ordere... flags=[] limit=-1 skip=0 project=nil | runtime: 0.6776ms
D, [2015-06-14T20:26:04.814587 #4650] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 5", "text"=>"Text 5", "user_id"=>"557dc73c726a75122a000000", "_id"=><BSON::ObjectId:0x34543220 data=557dc73c726a75122a000008>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.4997ms
D, [2015-06-14T20:26:04.816388 #4650] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"R1eBvhMnoiAcIgOz2j3DpA=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3517ms
D, [2015-06-14T20:26:04.817156 #4650] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.post selector={"_id"=><BSON::ObjectId:0x34399800 data=557dc73c726a75122a000008>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3221ms
D, [2015-06-14T20:26:04.818074 #4650] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:update=>"post", :updates=>[{:q=>{"_id"=><BSON::ObjectId:0x34372440 data=557dc73c726a75122a000008>}, :u=>{"title"=>"new_name", "text"=>"new_text", "user_id"=>"557dc73c726a75122a000000"}, :multi=>false, :upsert=>true}], :writeConcern=>{:w=>1}, :ordere... flags=[] limit=-1 skip=0 project=nil | runtime: 0.4432ms
D, [2015-06-14T20:26:04.820114 #4650] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 6", "text"=>"Text 6", "user_id"=>"557dc73c726a75122a000000", "_id"=><BSON::ObjectId:0x34340960 data=557dc73c726a75122a000009>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.4230ms
D, [2015-06-14T20:26:04.822208 #4650] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"R1eBvhMnoiAcIgOz2j3DpA=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3521ms
D, [2015-06-14T20:26:04.822972 #4650] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.post selector={"_id"=><BSON::ObjectId:0x34208400 data=557dc73c726a75122a000009>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2437ms
D, [2015-06-14T20:26:04.823971 #4650] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:update=>"post", :updates=>[{:q=>{"_id"=><BSON::ObjectId:0x34205800 data=557dc73c726a75122a000009>}, :u=>{"title"=>"new_name", "text"=>"new_text", "user_id"=>"557dc73c726a75122a000000"}, :multi=>false, :upsert=>true}], :writeConcern=>{:w=>1}, :ordere... flags=[] limit=-1 skip=0 project=nil | runtime: 0.4027ms
D, [2015-06-14T20:26:04.825130 #4650] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.post selector={"_id"=><BSON::ObjectId:0x34133520 data=557dc73c726a75122a000009>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3624ms
D, [2015-06-14T20:26:04.827224 #4650] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 7", "text"=>"Text 7", "user_id"=>"557dc73c726a75122a000000", "_id"=><BSON::ObjectId:0x34068960 data=557dc73c726a75122a00000a>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.4921ms
D, [2015-06-14T20:26:04.832736 #4650] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 8", "text"=>"Text 8", "user_id"=>"557dc73c726a75122a000000", "_id"=><BSON::ObjectId:0x33894440 data=557dc73c726a75122a00000b>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.4413ms
D, [2015-06-14T20:26:04.834775 #4650] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"invalid"} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3362ms
D, [2015-06-14T20:26:04.836748 #4650] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:drop=>"post"} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 0.6101ms
D, [2015-06-14T20:26:04.838213 #4650] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 9", "text"=>"Text 9", "user_id"=>"557dc73c726a75122a000000", "_id"=><BSON::ObjectId:0x33725440 data=557dc73c726a75122a00000c>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.6390ms
D, [2015-06-14T20:26:04.840315 #4650] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"R1eBvhMnoiAcIgOz2j3DpA=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.4044ms
D, [2015-06-14T20:26:04.841152 #4650] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.post selector={"_id"=><BSON::ObjectId:0x33618340 data=557dc73c726a75122a00000c>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2923ms
D, [2015-06-14T20:26:04.842038 #4650] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:delete=>"post", :deletes=>[{:q=>{"_id"=><BSON::ObjectId:0x33615500 data=557dc73c726a75122a00000c>}, :limit=>1}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.3915ms
D, [2015-06-14T20:26:04.843473 #4650] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:drop=>"post"} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 0.5870ms
D, [2015-06-14T20:26:04.844848 #4650] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 10", "text"=>"Text 10", "user_id"=>"557dc73c726a75122a000000", "_id"=><BSON::ObjectId:0x33534660 data=557dc73c726a75122a00000d>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.6728ms
D, [2015-06-14T20:26:04.846594 #4650] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"R1eBvhMnoiAcIgOz2j3DpA=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3810ms
D, [2015-06-14T20:26:04.847350 #4650] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.post selector={"_id"=><BSON::ObjectId:0x33418920 data=557dc73c726a75122a00000d>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2201ms
D, [2015-06-14T20:26:04.847905 #4650] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:delete=>"post", :deletes=>[{:q=>{"_id"=><BSON::ObjectId:0x33416220 data=557dc73c726a75122a00000d>}, :limit=>1}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.2596ms
D, [2015-06-14T20:26:04.848696 #4650] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:count=>"post", :query=>{}} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 0.2866ms
D, [2015-06-14T20:26:04.850015 #4650] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:drop=>"post"} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 0.6239ms
D, [2015-06-14T20:26:04.851342 #4650] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 11", "text"=>"Text 11", "user_id"=>"557dc73c726a75122a000000", "_id"=><BSON::ObjectId:0x33297040 data=557dc73c726a75122a00000e>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.6621ms
D, [2015-06-14T20:26:04.852786 #4650] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:email=>"user2@email.com", :_id=>{"$ne"=>nil}} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.4408ms
D, [2015-06-14T20:26:04.853687 #4650] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"user", :documents=>[{"email"=>"user2@email.com", "name"=>"User2", "password"=>"7c4a8d09ca3762af61e59520943dc26494f8941b", "_id"=><BSON::ObjectId:0x33252140 data=557dc73c726a75122a00000f>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.4117ms
D, [2015-06-14T20:26:04.854701 #4650] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 12", "text"=>"Text 12", "user_id"=>"557dc73c726a75122a00000f", "_id"=><BSON::ObjectId:0x33237500 data=557dc73c726a75122a000010>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.5920ms
D, [2015-06-14T20:26:04.856802 #4650] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"R1eBvhMnoiAcIgOz2j3DpA=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3893ms
D, [2015-06-14T20:26:04.857612 #4650] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.post selector={"_id"=><BSON::ObjectId:0x33040040 data=557dc73c726a75122a000010>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2944ms
D, [2015-06-14T20:26:04.859698 #4650] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:drop=>"post"} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 0.6320ms
