# Logfile created on 2015-07-05 19:07:10 +0200 by logger.rb/v1.2.7
D, [2015-07-05T19:07:10.675802 #5575] DEBUG -- : MONGODB | Adding 127.0.0.1:27017 to the cluster. | runtime: 0.0095ms
D, [2015-07-05T19:07:10.992330 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:update=>"user", :updates=>[{:q=>{"_id"=><BSON::ObjectId:0x27441480 data=5599643e726a7515c7000013>}, :u=>{"$set"=>{"session_token"=>"qV4/hv3owvcjQ2N3qgMzHA=="}}, :multi=>false, :upsert=>false}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.3493ms
D, [2015-07-05T19:07:10.992896 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:_id=><BSON::ObjectId:0x27441480 data=5599643e726a7515c7000013>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2906ms
D, [2015-07-05T19:07:10.994798 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"qV4/hv3owvcjQ2N3qgMzHA=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.4687ms
D, [2015-07-05T19:07:10.995997 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:update=>"user", :updates=>[{:q=>{"_id"=><BSON::ObjectId:0x26984120 data=5599643e726a7515c7000013>}, :u=>{"$set"=>{"session_token"=>nil}}, :multi=>false, :upsert=>false}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.5324ms
D, [2015-07-05T19:07:10.997618 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:update=>"user", :updates=>[{:q=>{"_id"=><BSON::ObjectId:0x27441480 data=5599643e726a7515c7000013>}, :u=>{"$set"=>{"session_token"=>"qV4/hv3owvcjQ2N3qgMzHA=="}}, :multi=>false, :upsert=>false}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.5414ms
D, [2015-07-05T19:07:10.998323 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:_id=><BSON::ObjectId:0x27441480 data=5599643e726a7515c7000013>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3541ms
D, [2015-07-05T19:07:11.000454 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"qV4/hv3owvcjQ2N3qgMzHA=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.4420ms
D, [2015-07-05T19:07:11.001447 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:update=>"user", :updates=>[{:q=>{"_id"=><BSON::ObjectId:0x26779680 data=5599643e726a7515c7000013>}, :u=>{"$set"=>{"session_token"=>nil}}, :multi=>false, :upsert=>false}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.4222ms
D, [2015-07-05T19:07:11.002310 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:_id=><BSON::ObjectId:0x27441480 data=5599643e726a7515c7000013>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2813ms
D, [2015-07-05T19:07:11.005916 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:email=>"user4@email.com", :_id=>{"$ne"=>nil}} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.5188ms
D, [2015-07-05T19:07:11.006941 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"user", :documents=>[{"email"=>"user4@email.com", "name"=>"User4", "password"=>"7c4a8d09ca3762af61e59520943dc26494f8941b", "_id"=><BSON::ObjectId:0x26658600 data=5599643f726a7515c7000014>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.4878ms
D, [2015-07-05T19:07:11.022079 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"20"} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3760ms
D, [2015-07-05T19:07:11.023788 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:email=>"user5@email.com", :_id=>{"$ne"=>nil}} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3910ms
D, [2015-07-05T19:07:11.024670 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"user", :documents=>[{"email"=>"user5@email.com", "name"=>"User5", "password"=>"7c4a8d09ca3762af61e59520943dc26494f8941b", "_id"=><BSON::ObjectId:0x17199120 data=5599643f726a7515c7000015>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.4547ms
D, [2015-07-05T19:07:11.025388 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:email=>"user5@email.com", :password=>"7c4a8d09ca3762af61e59520943dc26494f8941b"} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3195ms
D, [2015-07-05T19:07:11.027147 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:email=>"user6@email.com", :_id=>{"$ne"=>nil}} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3493ms
D, [2015-07-05T19:07:11.027996 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"user", :documents=>[{"email"=>"user6@email.com", "name"=>"User6", "password"=>"7c4a8d09ca3762af61e59520943dc26494f8941b", "_id"=><BSON::ObjectId:0x16991760 data=5599643f726a7515c7000016>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.3800ms
D, [2015-07-05T19:07:11.029439 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 16", "text"=>"Text 16", "user_id"=>"5599643f726a7515c7000016", "_id"=><BSON::ObjectId:0x16857740 data=5599643f726a7515c7000017>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.5205ms
D, [2015-07-05T19:07:11.030720 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 17", "text"=>"Text 17", "user_id"=>"5599643f726a7515c7000016", "_id"=><BSON::ObjectId:0x16794040 data=5599643f726a7515c7000018>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.4675ms
D, [2015-07-05T19:07:11.031346 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.post selector={:user_id=>"5599643f726a7515c7000016"} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3254ms
D, [2015-07-05T19:07:11.032918 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:email=>"user7@email.com", :_id=>{"$ne"=>nil}} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.4051ms
D, [2015-07-05T19:07:11.033727 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"user", :documents=>[{"email"=>"user7@email.com", "name"=>"User7", "password"=>"7c4a8d09ca3762af61e59520943dc26494f8941b", "_id"=><BSON::ObjectId:0x16538200 data=5599643f726a7515c7000019>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.3774ms
D, [2015-07-05T19:07:11.034387 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"bhHgalB/eOU1uWbczW6OoA=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2549ms
D, [2015-07-05T19:07:11.035205 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:update=>"user", :updates=>[{:q=>{"_id"=><BSON::ObjectId:0x16538200 data=5599643f726a7515c7000019>}, :u=>{"$set"=>{"session_token"=>"bhHgalB/eOU1uWbczW6OoA=="}}, :multi=>false, :upsert=>false}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.4332ms
D, [2015-07-05T19:07:11.036946 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:email=>"user8@email.com", :_id=>{"$ne"=>nil}} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.4275ms
D, [2015-07-05T19:07:11.037816 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"user", :documents=>[{"email"=>"user8@email.com", "name"=>"User8", "password"=>"7c4a8d09ca3762af61e59520943dc26494f8941b", "session_token"=>"123", "_id"=><BSON::ObjectId:0x16336060 data=5599643f726a7515c700001a>}], :writeConcern=>{:w=>1}, :o... flags=[] limit=-1 skip=0 project=nil | runtime: 0.4034ms
D, [2015-07-05T19:07:11.038571 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:update=>"user", :updates=>[{:q=>{"_id"=><BSON::ObjectId:0x16336060 data=5599643f726a7515c700001a>}, :u=>{"$set"=>{"session_token"=>"123"}}, :multi=>false, :upsert=>false}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.3326ms
D, [2015-07-05T19:07:11.040176 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:email=>"user9@email.com", :_id=>{"$ne"=>nil}} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3703ms
D, [2015-07-05T19:07:11.041015 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"user", :documents=>[{"email"=>"user9@email.com", "name"=>"User9", "password"=>"7c4a8d09ca3762af61e59520943dc26494f8941b", "session_token"=>"123456", "_id"=><BSON::ObjectId:0x16161580 data=5599643f726a7515c700001b>}], :writeConcern=>{:w=>1},... flags=[] limit=-1 skip=0 project=nil | runtime: 0.4032ms
D, [2015-07-05T19:07:11.042058 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:update=>"user", :updates=>[{:q=>{"_id"=><BSON::ObjectId:0x16161580 data=5599643f726a7515c700001b>}, :u=>{"$set"=>{"session_token"=>nil}}, :multi=>false, :upsert=>false}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.5798ms
D, [2015-07-05T19:07:11.042814 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:_id=><BSON::ObjectId:0x16161580 data=5599643f726a7515c700001b>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3014ms
